Title,Year,Km,Power,Fuel Type,Price,Link
Skoda Fabia 1.4 Comfort,2003,152000,68,Benzina,2 000RON,https://www.autovit.ro/autoturisme/anunt/skoda-fabia-1-4-comfort-ID7HqItz.html
Daewoo Matiz,2008,80660,48,Benzina,450EUR,https://www.autovit.ro/autoturisme/anunt/daewoo-matiz-ID7HrFI2.html
Daewoo Cielo EXECUTIVE,2000,125000,86,Benzina,2 400RON,https://www.autovit.ro/autoturisme/anunt/daewoo-cielo-executive-ID7HscwI.html
Daewoo Cielo Standard,2007,150000,86,Benzina+GPL,500EUR,https://www.autovit.ro/autoturisme/anunt/daewoo-cielo-standard-ID7HqIE2.html
Volkswagen Golf,1995,180000,90,Benzina,500EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ID7HscWt.html
Volkswagen Passat 1.6 Comfortline,2002,250000,102,Benzina+GPL,550EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-1-6-comfortline-ID7HpJqL.html
Ford Escort,1997,81000,90,Benzina,580EUR,https://www.autovit.ro/autoturisme/anunt/ford-escort-ID7Hbtqj.html
Volvo S60 D5,2002,260000,163,Diesel,600EUR,https://www.autovit.ro/autoturisme/anunt/volvo-s60-d5-ID7HrzyZ.html
Fiat Punto 1.2 16V ELX,2000,198000,80,Benzina,600EUR,https://www.autovit.ro/autoturisme/anunt/fiat-punto-1-2-16v-elx-ID7Hs4ZX.html
Opel Agila 1.3 CDTI,2004,245000,70,Diesel,650EUR,https://www.autovit.ro/autoturisme/anunt/opel-agila-1-3-cdti-ID7HoDdH.html
Mercedes-Benz A 150 Classic,2004,386000,95,Benzina,750EUR,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-a-150-classic-ID7HrBTd.html
Fiat Punto 1.2 Active,2002,135345,60,Benzina,750EUR,https://www.autovit.ro/autoturisme/anunt/fiat-punto-1-2-active-ID7Hs32m.html
Volkswagen Golf 1.4 Basis,2000,203000,75,Benzina,750EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-1-4-basis-ID7Hs17e.html
Renault Laguna,2005,142042,150,Diesel,799EUR,https://www.autovit.ro/autoturisme/anunt/renault-laguna-ID7HlRR0.html
BMW Seria 3 316i,2000,290000,105,Benzina,800EUR,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-316i-ID7HrywZ.html
Opel Astra 2.0 TDi Comfort,2000,2400000,100,Diesel,800EUR,https://www.autovit.ro/autoturisme/anunt/opel-astra-2-0-tdi-comfort-ID7HrWOo.html
Peugeot 807 HDi 135 Family,2007,123456,136,Diesel,4 000RON,https://www.autovit.ro/autoturisme/anunt/peugeot-807-hdi-135-family-ID7Hr06O.html
Dacia Logan,2009,120000,75,Benzina,4 000RON,https://www.autovit.ro/autoturisme/anunt/dacia-logan-ID7HrCtj.html
Ford Focus 1.8 TDDI Comfort,2002,330000,90,Diesel,850EUR,https://www.autovit.ro/autoturisme/anunt/ford-focus-1-8-tddi-comfort-ID7HrXUi.html
Skoda Fabia 1.2 Classic,2003,178600,54,Benzina,850EUR,https://www.autovit.ro/autoturisme/anunt/skoda-fabia-1-2-classic-ID7HqIjc.html
Ford Mondeo 2.0 TDCI Ambiente,2001,87000,115,Diesel,890EUR,https://www.autovit.ro/autoturisme/anunt/ford-mondeo-2-0-tdci-ambiente-ID7HrBu8.html
Volkswagen Sharan 2.0 Highline,2002,140000,115,Benzina,899EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-sharan-2-0-highline-ID7HpEMJ.html
Volkswagen Passat,1999,392507,110,Diesel,900EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-ID7HrDuX.html
Volkswagen Golf Variant 1.9TDI Ocean,2003,341000,100,Diesel,900EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-variant-1-9tdi-ocean-ID7Hpqr1.html
Hyundai Accent 1.3i,2005,180000,85,Benzina,900EUR,https://www.autovit.ro/autoturisme/anunt/hyundai-accent-1-3i-ID7HrULz.html
Peugeot 206 2.0HDi XT,2003,261000,90,Diesel,900EUR,https://www.autovit.ro/autoturisme/anunt/peugeot-206-2-0hdi-xt-ID7HkICX.html
Opel Agila 1.2i Comfort,2002,263725,75,Benzina,900EUR,https://www.autovit.ro/autoturisme/anunt/opel-agila-1-2i-comfort-ID7HpyzI.html
Ford Focus 1.8i Ghia,2004,250000,115,Benzina,900EUR,https://www.autovit.ro/autoturisme/anunt/ford-focus-1-8i-ghia-ID7HrK9h.html
Volkswagen Passat,2002,269000,102,Benzina,900EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-ID7HryEa.html
Chevrolet Spark 0.8 Direct,2006,140114,51,Benzina,950EUR,https://www.autovit.ro/autoturisme/anunt/chevrolet-spark-0-8-direct-ID7HrWRe.html
Ford Galaxy TDI Ghia,2001,408826,115,Diesel,950EUR,https://www.autovit.ro/autoturisme/anunt/ford-galaxy-tdi-ghia-ID7Hsfx9.html
Fiat Grande Punto 1.2 8V Dynamic,2007,137000,65,Benzina,990EUR,https://www.autovit.ro/autoturisme/anunt/fiat-grande-punto-1-2-8v-dynamic-ID7HkUPx.html
Volkswagen Lupo 1.7 SDI,1999,270000,60,Diesel,4 950RON,https://www.autovit.ro/autoturisme/anunt/volkswagen-lupo-1-7-sdi-ID7HrUxw.html
Mercedes-Benz C 220 T CDI Elegance,2005,297116,150,Diesel,999EUR,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-c-220-t-cdi-elegance-ID7HrMgV.html
Volkswagen Golf 1.4,2000,190000,75,Benzina,999EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-1-4-ID7HrT82.html
Renault Megane II 1.6 Dynamique,2008,200000,110,Benzina+GPL,1 000EUR,https://www.autovit.ro/autoturisme/anunt/renault-megane-ii-1-6-dynamique-ID7Hr0R6.html
Renault Laguna 1.8+ CFT3,2002,193000,120,Benzina,1 000EUR,https://www.autovit.ro/autoturisme/anunt/renault-laguna-1-8-cft3-ID7HkKbF.html
Peugeot 307 1.6HDi Confort,2001,387000,110,Diesel,1 000EUR,https://www.autovit.ro/autoturisme/anunt/peugeot-307-1-6hdi-confort-ID7HrCKI.html
Dacia Solenza 1.4 MPI Comfort,2004,156000,75,Benzina,1 000EUR,https://www.autovit.ro/autoturisme/anunt/dacia-solenza-1-4-mpi-comfort-ID7HpymT.html
Skoda Fabia 1.4 16V Classic,2004,205000,75,Benzina,1 000EUR,https://www.autovit.ro/autoturisme/anunt/skoda-fabia-1-4-16v-classic-ID7HrD5d.html
Ford Focus C-Max,2006,362000,109,Diesel,1 000EUR,https://www.autovit.ro/autoturisme/anunt/ford-focus-c-max-ID7HrMye.html
Seat Ibiza,2005,277905,64,Benzina,1 000EUR,https://www.autovit.ro/autoturisme/anunt/seat-ibiza-ID7Hkt1c.html
Audi A4,2000,283343,102,Benzina,1 000EUR,https://www.autovit.ro/autoturisme/anunt/audi-a4-ID7HrU8g.html
Opel Frontera 2.2 TDi,1997,221500,115,Diesel,1 000EUR,https://www.autovit.ro/autoturisme/anunt/opel-frontera-2-2-tdi-ID7HrTcv.html
Seat Ibiza 1.2 Stella,2006,160000,64,Benzina,1 000EUR,https://www.autovit.ro/autoturisme/anunt/seat-ibiza-1-2-stella-ID7Hr0lo.html
Chevrolet Lacetti,2007,130000,109,Benzina,1 000EUR,https://www.autovit.ro/autoturisme/anunt/chevrolet-lacetti-ID7Hd7d3.html
Fiat Punto 1.2 S,2003,286964,60,Benzina,1 050EUR,https://www.autovit.ro/autoturisme/anunt/fiat-punto-1-2-s-ID7Hrywl.html
Renault Kangoo,2001,200000,75,Benzina,1 099EUR,https://www.autovit.ro/autoturisme/anunt/renault-kangoo-ID7Hs1OW.html
Renault Scenic 1.9dCi Expression,2003,120000,105,Diesel,1 100EUR,https://www.autovit.ro/autoturisme/anunt/renault-scenic-1-9dci-expression-ID7HqDqC.html
Peugeot Partner Origin HDi 75,2007,322759,75,Diesel,1 100EUR,https://www.autovit.ro/autoturisme/anunt/peugeot-partner-origin-hdi-75-ID7HrCzf.html
Opel Astra Classic 1.6i,2006,170000,105,Benzina,1 100EUR,https://www.autovit.ro/autoturisme/anunt/opel-astra-classic-1-6i-ID7HrUA8.html
Opel Astra Classic 1.6i,2006,170000,105,Benzina,1 100EUR,https://www.autovit.ro/autoturisme/anunt/opel-astra-classic-1-6i-ID7HrCMK.html
Mini Cooper Standard,2004,215000,115,Benzina+GPL,1 100EUR,https://www.autovit.ro/autoturisme/anunt/mini-cooper-standard-ID7Hho6Z.html
Lancia Ypsilon Y 1.2 8v Elefantino Gold,2008,110000,69,Benzina,1 150EUR,https://www.autovit.ro/autoturisme/anunt/lancia-ypsilon-y-1-2-8v-elefantino-gold-ID7HrziQ.html
Peugeot 206,2003,214000,110,Benzina,1 150EUR,https://www.autovit.ro/autoturisme/anunt/peugeot-206-ID7Hs5gZ.html
Ford Puma,2001,173000,103,Benzina,1 150EUR,https://www.autovit.ro/autoturisme/anunt/ford-puma-ID7Hs9Yr.html
Hyundai Accent 1.5 CRDi,2002,255000,82,Diesel,1 150EUR,https://www.autovit.ro/autoturisme/anunt/hyundai-accent-1-5-crdi-ID7HryLc.html
Opel Astra Classic 1.6i,2002,292000,105,Benzina,1 180EUR,https://www.autovit.ro/autoturisme/anunt/opel-astra-classic-1-6i-ID7HrWT7.html
Chevrolet Lacetti 1.4i SE 51,2007,160000,95,Benzina+GPL,1 190EUR,https://www.autovit.ro/autoturisme/anunt/chevrolet-lacetti-1-4i-se-51-ID7HrVkT.html
Opel Meriva 1.6i Enjoy,2008,169600,105,Benzina,1 190EUR,https://www.autovit.ro/autoturisme/anunt/opel-meriva-1-6i-enjoy-ID7HqT0H.html
Renault Twingo 1.2 Authentique,2002,116000,58,Benzina,1 199EUR,https://www.autovit.ro/autoturisme/anunt/renault-twingo-1-2-authentique-ID7HpD9c.html
Smart Fortwo,2002,131000,61,Benzina,1 199EUR,https://www.autovit.ro/autoturisme/anunt/smart-fortwo-ID7HeGYR.html
Volkswagen Golf 1.4 Comfortline,2007,208000,80,Benzina,1 199EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-1-4-comfortline-ID7HpGiW.html
Opel Astra 1.7 DTI,2004,255500,75,Diesel,1 200EUR,https://www.autovit.ro/autoturisme/anunt/opel-astra-1-7-dti-ID7HrZvJ.html
Opel Astra 1.6,2001,198000,100,Benzina,1 200EUR,https://www.autovit.ro/autoturisme/anunt/opel-astra-1-6-ID7HrZhZ.html
Volkswagen Golf,2001,280000,110,Benzina,1 200EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ID7Hs18y.html
Citroën Xsara Picasso,2002,210090,90,Diesel,1 200EUR,https://www.autovit.ro/autoturisme/anunt/citron-xsara-picasso-ID7HrVFP.html
Peugeot 307,2004,310000,90,Diesel,1 200EUR,https://www.autovit.ro/autoturisme/anunt/peugeot-307-ID7Hs8AU.html
Ford Mondeo 2.0TDCi Ghia,2005,280000,130,Diesel,1 200EUR,https://www.autovit.ro/autoturisme/anunt/ford-mondeo-2-0tdci-ghia-ID7HoEjc.html
Ford Fiesta 1.3,2005,185000,70,Benzina,1 200EUR,https://www.autovit.ro/autoturisme/anunt/ford-fiesta-1-3-ID7Hs5eW.html
Seat Toledo 1.6 Sport,2002,450000,105,Benzina+GPL,1 200EUR,https://www.autovit.ro/autoturisme/anunt/seat-toledo-1-6-sport-ID7Hqc3E.html
Skoda Octavia 2.0 FSI Elegance,2006,282000,150,Benzina,1 200EUR,https://www.autovit.ro/autoturisme/anunt/skoda-octavia-2-0-fsi-elegance-ID7HrMTT.html
Smart Fortwo,2002,125000,54,Benzina,1 200EUR,https://www.autovit.ro/autoturisme/anunt/smart-fortwo-ID7Hsg2c.html
Fiat Punto,2005,180452,60,Benzina,6 000RON,https://www.autovit.ro/autoturisme/anunt/fiat-punto-ID7HsdhY.html
Skoda Fabia 1.9 SDI Classic,2004,326000,64,Diesel,6 000RON,https://www.autovit.ro/autoturisme/anunt/skoda-fabia-1-9-sdi-classic-ID7HrC8O.html
Opel Astra 1.7 DTI Caravan,2001,375265,75,Diesel,1 235EUR,https://www.autovit.ro/autoturisme/anunt/opel-astra-1-7-dti-caravan-ID7Hr0mS.html
Smart Fortwo,2001,213500,30,Diesel,1 249EUR,https://www.autovit.ro/autoturisme/anunt/smart-fortwo-ID7HrVf2.html
Audi A4,1997,283700,74,Benzina,1 250EUR,https://www.autovit.ro/autoturisme/anunt/audi-a4-ID7Hr6Qc.html
Skoda Fabia,2002,261000,64,Diesel,1 250EUR,https://www.autovit.ro/autoturisme/anunt/skoda-fabia-ID7HpWw2.html
Peugeot 207 1.4HDI Premium,2006,300000,70,Diesel,1 250EUR,https://www.autovit.ro/autoturisme/anunt/peugeot-207-1-4hdi-premium-ID7HryLh.html
Mercedes-Benz Vito,1998,230000,95,Diesel,1 250EUR,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-vito-ID7HrAJQ.html
Suzuki Alto,2002,124600,63,Benzina,1 250EUR,https://www.autovit.ro/autoturisme/anunt/suzuki-alto-ID7Hr1qk.html
Skoda Fabia 1.4 Junior,2002,194000,60,Benzina+GPL,1 250EUR,https://www.autovit.ro/autoturisme/anunt/skoda-fabia-1-4-junior-ID7HrTlZ.html
Peugeot 207 SW 1.6 VTi Active,2008,236864,120,Benzina,1 250EUR,https://www.autovit.ro/autoturisme/anunt/peugeot-207-sw-1-6-vti-active-ID7HhqJZ.html
Volkswagen Polo 1.4 TDI Comfortline,2006,240000,70,Diesel,1 250EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-polo-1-4-tdi-comfortline-ID7Hscuw.html
Opel Astra Sedan Classic III 1.7 CDTI,2007,288000,110,Diesel,1 250EUR,https://www.autovit.ro/autoturisme/anunt/opel-astra-sedan-classic-iii-1-7-cdti-ID7HsftU.html
Opel Zafira 1.8 Family,2004,419000,120,Benzina,1 290EUR,https://www.autovit.ro/autoturisme/anunt/opel-zafira-1-8-family-ID7HrSYr.html
Opel Corsa,2004,230000,90,Benzina,1 290EUR,https://www.autovit.ro/autoturisme/anunt/opel-corsa-ID7Hs58p.html
Renault Clio III 1.5dCi Dynamique,2006,240000,84,Diesel,1 300EUR,https://www.autovit.ro/autoturisme/anunt/renault-clio-iii-1-5dci-dynamique-ID7Hr1IK.html
BMW Seria 3,1999,321000,136,Diesel,1 300EUR,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HpD3K.html
