Title,Year,Km,Power,Fuel Type,Price,Link
Mercedes-Benz E 220 Blue TEC BlueEFFICIENCY Edition,2012,320000,170,Diesel,10 300EUR,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-e-220-blue-tec-blueefficiency-edition-ID7Hs5bU.html
Volkswagen Passat CC,2012,209174,170,Diesel,10 300EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-cc-ID7HrxoT.html
Mitsubishi Outlander,N/A,N/A,121,N/A,10 300EUR,https://www.autovit.ro/autoturisme/anunt/mitsubishi-outlander-ID7HrxpW.html
Dacia Duster TCe 125 4x2 Prestige,2018,98100,125,Benzina,10 300EUR,https://www.autovit.ro/autoturisme/anunt/dacia-duster-tce-125-4x2-prestige-ID7Hscae.html
Kia Sportage 1.6 GDI 2WD Attract,2015,215043,136,Benzina+GPL,10 300EUR,https://www.autovit.ro/autoturisme/anunt/kia-sportage-1-6-gdi-2wd-attract-ID7HnIwQ.html
BMW X1 xDrive18d,2012,136000,143,Diesel,10 300EUR,https://www.autovit.ro/autoturisme/anunt/bmw-x1-xdrive18d-ID7HqZAd.html
Volkswagen Passat,2014,140000,140,Diesel,10 300EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-ID7HrVnx.html
Ford Fiesta 1.5 TDCi ST Line,2016,30000,95,Diesel,10 300EUR,https://www.autovit.ro/autoturisme/anunt/ford-fiesta-1-5-tdci-st-line-ID7Hsdik.html
Skoda Octavia 1.0 TSI Ambition,2018,105000,115,Benzina,10 300EUR,https://www.autovit.ro/autoturisme/anunt/skoda-octavia-1-0-tsi-ambition-ID7Hs8Ix.html
Ford Kuga 1.5 EcoBoost 2WD Titanium,2018,225000,150,Benzina,10 300EUR,https://www.autovit.ro/autoturisme/anunt/ford-kuga-1-5-ecoboost-2wd-titanium-ID7HohgC.html
Subaru Impreza 2.0i Active,2017,236000,150,Benzina,10 300EUR,https://www.autovit.ro/autoturisme/anunt/subaru-impreza-2-0i-active-ID7HjjLW.html
BMW X1 xDrive18d,2012,165875,143,Diesel,10 300EUR,https://www.autovit.ro/autoturisme/anunt/bmw-x1-xdrive18d-ID7HrOy2.html
Mazda CX-5 CD175 4x4 Revolution,2014,142000,175,Diesel,10 300EUR,https://www.autovit.ro/autoturisme/anunt/mazda-cx-5-cd175-4x4-revolution-ID7HrKGU.html
Skoda Octavia 2.0 TDI RS DSG,2016,280000,184,Diesel,10 300EUR,https://www.autovit.ro/autoturisme/anunt/skoda-octavia-2-0-tdi-rs-dsg-ID7HrBLq.html
Dacia Duster,2019,172000,115,Diesel,10 300EUR,https://www.autovit.ro/autoturisme/anunt/dacia-duster-ID7Hkm56.html
BMW Seria 3,2015,310000,143,Diesel,10 300EUR,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ID7HqrVm.html
Skoda Octavia,2019,224000,115,Diesel,10 300EUR,https://www.autovit.ro/autoturisme/anunt/skoda-octavia-ID7HjmrF.html
Dacia Sandero Stepway TCe 100 Prestige,2021,56764,101,Benzina+GPL,10 311EUR(8 665 EUR - net),https://www.autovit.ro/autoturisme/anunt/dacia-sandero-stepway-tce-100-prestige-ID7Hs4Op.html
Mercedes-Benz C 200 CDI DPF (BlueEFFICIENCY) Avantgarde,2012,133500,136,Diesel,10 340EUR,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-c-200-cdi-dpf-blueefficiency-avantgarde-ID7Hn0iN.html
Renault Master ENERGY dCi 135 Start & Stop L2H2,2016,230000,135,Diesel,10 349EUR,https://www.autovit.ro/autoturisme/anunt/renault-master-energy-dci-135-start-stop-l2h2-ID7HpcWa.html
Ford Kuga,2013,216400,136,Diesel,10 350EUR,https://www.autovit.ro/autoturisme/anunt/ford-kuga-ID7Hr0QB.html
Volkswagen Jetta 2.0 TDI Comfortline,2014,142000,110,Diesel,10 350EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-jetta-2-0-tdi-comfortline-ID7HmRSN.html
Mazda 3 SKYACTIV-G 120 Sports-Line,2014,154000,120,Benzina,10 350EUR,https://www.autovit.ro/autoturisme/anunt/mazda-3-skyactiv-g-120-sports-line-ID7HryL3.html
Opel Insignia 2.0 CDTI Country Tourer ecoFLEX,2016,199000,170,Diesel,10 350EUR,https://www.autovit.ro/autoturisme/anunt/opel-insignia-2-0-cdti-country-tourer-ecoflex-ID7HrSOM.html
Renault Megane BLUE dCi 115 Deluxe-Paket LIMITED,2019,198000,115,Diesel,10 350EUR,https://www.autovit.ro/autoturisme/anunt/renault-megane-blue-dci-115-deluxe-paket-limited-ID7HrQnX.html
Audi A5 Cabrio 2.0 TFSI quattro S tronic,2010,261000,211,Benzina,10 350EUR,https://www.autovit.ro/autoturisme/anunt/audi-a5-cabrio-2-0-tfsi-quattro-s-tronic-ID7HqyiO.html
Kia Rio 1.2 Dream-Team Edition,2019,62000,84,Benzina,10 350EUR,https://www.autovit.ro/autoturisme/anunt/kia-rio-1-2-dream-team-edition-ID7HqGos.html
Volkswagen Golf,2014,257000,110,Diesel,10 350EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ID7HrSFB.html
BMW X1 xDrive18d,2013,170000,143,Diesel,10 350EUR,https://www.autovit.ro/autoturisme/anunt/bmw-x1-xdrive18d-ID7HpENA.html
Volkswagen Passat Variant 2.0 TDI DSG (BlueMotion Technology) Trendline,2018,277300,150,Diesel,10 350EUR,https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-variant-2-0-tdi-dsg-bluemotion-technology-trendline-ID7HrM48.html
Dacia Logan ECO-G 100 Essential,2020,51488,100,Benzina+GPL,10 350EUR,https://www.autovit.ro/autoturisme/anunt/dacia-logan-eco-g-100-essential-ID7Hkpqy.html
